COMID,EVENTDATE,REACHCODE,REACHSMDAT,REACHRESOL,FEATURECOM,FEATURECLA,SOURCE_ORI,SOURCE_DAT,SOURCE_FEA,FEATUREDET,Measure,Offset,EventType,FLComID
"0",2014-12-04,"03010102000485",,Medium,"0","0","USGS, Water Resources Division",,"02079241",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02079241,72.55539,0.00000000000,StreamGage,"8653644"
"0",2014-12-04,"03010204000068",,Medium,"0","0","USGS, Water Resources Division",,"02051600",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02051600,50.67767,0.00000000000,StreamGage,"8742211"
"0",2014-12-04,"03010106000056",,Medium,"0","0","USGS, Water Resources Division",,"02079640",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02079640,41.88473,0.00000000000,StreamGage,"12049196"
"0",2014-12-04,"03010201000043",,Medium,"0","0","USGS, Water Resources Division",,"02047000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02047000,35.16078,0.00000000000,StreamGage,"8725915"
"0",2014-12-04,"03010205000187",,Medium,"0","0","USGS, Water Resources Division",,"02043200",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02043200,45.92114,0.00000000000,StreamGage,"10470167"
"0",2014-12-04,"03010104000114",,Medium,"0","0","USGS, Water Resources Division",,"02075045",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02075045,84.09263,0.00000000000,StreamGage,"8696453"
"0",2014-12-04,"03010205007634",,Medium,"0","0","USGS, Water Resources Division",,"02043210",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02043210,83.42887,0.00000000000,StreamGage,"10476697"
"0",2014-12-04,"03010204000283",,Medium,"0","0","USGS, Water Resources Division",,"02052500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02052500,54.07311,0.00000000000,StreamGage,"8742381"
"0",2014-12-04,"03010104001481",,Medium,"0","0","USGS, Water Resources Division",,"02076000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02076000,92.13608,0.00000000000,StreamGage,"8693827"
"0",2014-12-04,"03010205003402",,Medium,"0","0","USGS, Water Resources Division",,"02043550",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02043550,95.16977,0.00000000000,StreamGage,"10475831"
"0",2014-12-04,"03010103000026",,Medium,"0","0","USGS, Water Resources Division",,"02074500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02074500,77.58244,0.00000000000,StreamGage,"8673535"
"0",2014-12-04,"03010202000027",,Medium,"0","0","USGS, Water Resources Division",,"02049000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02049000,9.21519,0.00000000000,StreamGage,"11584664"
"0",2014-12-04,"03010104000244",,Medium,"0","0","USGS, Water Resources Division",,"02078000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02078000,91.40008,0.00000000000,StreamGage,"8693107"
"0",2014-12-04,"03010201000018",,Medium,"0","0","USGS, Water Resources Division",,"02047100",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02047100,19.86889,0.00000000000,StreamGage,"8725907"
"0",2014-12-04,"03010102000167",,Medium,"0","0","USGS, Water Resources Division",,"02066000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02066000,27.65404,0.00000000000,StreamGage,"8653008"
"0",2014-12-04,"03010104000257",,Medium,"0","0","USGS, Water Resources Division",,"02077500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02077500,64.25333,0.00000000000,StreamGage,"8693739"
"0",2014-12-04,"03010102000064",,Medium,"0","0","USGS, Water Resources Division",,"02067000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02067000,79.37871,0.00000000000,StreamGage,"8653074"
"0",2014-12-04,"03010204000089",,Medium,"0","0","USGS, Water Resources Division",,"02051500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02051500,89.26343,0.00000000000,StreamGage,"8741021"
"0",2014-12-04,"03010204000273",,Medium,"0","0","USGS, Water Resources Division",,"02053000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02053000,85.71126,0.00000000000,StreamGage,"8742351"
"0",2014-12-04,"03010201000527",,Medium,"0","0","USGS, Water Resources Division",,"02046500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02046500,83.87395,0.00000000000,StreamGage,"8725751"
"0",2014-12-04,"03010205007415",,Medium,"0","0","USGS, Water Resources Division",,"02043500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02043500,62.08935,0.00000000000,StreamGage,"10476551"
"0",2014-12-04,"03010202000032",,Medium,"0","0","USGS, Water Resources Division",,"02048000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02048000,6.33709,0.00000000000,StreamGage,"11585592"
"0",2014-12-04,"03010106000622",,Medium,"0","0","USGS, Water Resources Division",,"02079500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02079500,79.36213,0.00000000000,StreamGage,"12049360"
