COMID,EVENTDATE,REACHCODE,REACHSMDAT,REACHRESOL,FEATURECOM,FEATURECLA,SOURCE_ORI,SOURCE_DAT,SOURCE_FEA,FEATUREDET,Measure,Offset,EventType,FLComID
"0",2014-12-04,"02070001000204",,Medium,"0","0","USGS, Water Resources Division",,"01606900",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01606900,19.97081,0.00000000000,StreamGage,"8422140"
"0",2014-12-04,"02080207001987",,Medium,"0","0","USGS, Water Resources Division",,"02041890",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02041890,6.43790,0.00000000000,StreamGage,"8606985"
"0",2014-12-04,"02080106000440",,Medium,"0","0","USGS, Water Resources Division",,"01673550",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01673550,97.59359,0.00000000000,StreamGage,"8506844"
"0",2014-12-04,"02080202000161",,Medium,"0","0","USGS, Water Resources Division",,"02021000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02021000,95.70099,0.00000000000,StreamGage,"8538673"
"0",2014-12-04,"02060006000420",,Medium,"0","0","USGS, Water Resources Division",,"01594710",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01594710,56.95885,0.00000000000,StreamGage,"11909430"
"0",2014-12-04,"02080201000042",,Medium,"0","0","USGS, Water Resources Division",,"02016500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02016500,97.71374,0.00000000000,StreamGage,"8523633"
"0",2014-12-04,"02080103000260",,Medium,"0","0","USGS, Water Resources Division",,"01666500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01666500,45.77110,0.00000000000,StreamGage,"8468559"
"0",2014-12-04,"02070002000199",,Medium,"0","0","USGS, Water Resources Division",,"01595790",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01595790,97.27217,0.00000000000,StreamGage,"14365900"
"0",2014-12-04,"02080201000367",,Medium,"0","0","USGS, Water Resources Division",,"02018000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=02018000,69.10326,0.00000000000,StreamGage,"8522521"
"0",2014-12-04,"02070011000244",,Medium,"0","0","USGS, Water Resources Division",,"01658000",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01658000,30.57475,0.00000000000,StreamGage,"4529063"
"0",2014-12-04,"02070008001288",,Medium,"0","0","USGS, Water Resources Division",,"01644380",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01644380,51.56657,0.00000000000,StreamGage,"4505912"
"0",2014-12-04,"02070008000046",,Medium,"0","0","USGS, Water Resources Division",,"01644500",http://waterdata.usgs.gov/nwis/nwisman/?site_no=01644500,91.61801,0.00000000000,StreamGage,"4506086"
